time,expected_pnl,is_bid,market,price,size_base,size_usd,total_cost,total_units,rolling_pnl
2026-04-05 00:05:27.089292093,0.003277034438626856,False,MONUSDC,0.027209999436308318,1774.0152149944,48.27095,-7511.633968,-276340.99555257877,-7.604365214547215
2026-04-05 00:05:27.487724009,0.02529028521582176,False,MONUSDC,0.02720999992695267,13689.717787578,372.42877,-7884.131188,-290030.71334015677,-7.604500799696325
2026-04-05 00:05:30.350952695,-0.025783797800757215,False,MONUSDC,0.027209999455810752,1837.591510474,49.99168,-7934.132052,-291868.30485063075,-7.604364154070026
2026-04-05 00:05:49.193082697,0.056671195425269334,True,MONUSDC,0.027232,28293.0,770.27693,-7163.6570759999995,-263575.30485063075,-14.025625692376707
2026-04-05 00:05:49.604647197,0.03153262811115843,True,MONUSDC,0.027231999973693875,17327.6365840123,471.83154,-6691.790876999999,-246247.66826661845,-14.02561875873198
2026-04-05 00:05:49.604658258,0.03153262811115843,True,MONUSDC,0.027231999973693875,17327.6365840123,471.83154,-6219.924677999999,-228920.03168260615,-14.02561875873198
2026-04-05 00:05:53.217181745,-1.7761592105720836,True,MONUSDC,0.027230999993302616,66175.1935089861,1801.95052,-4417.9079839999995,-162744.83817362005,-13.796703215883099
2026-04-05 00:06:11.505502432,0.010238086559382645,False,MONUSDC,0.02720299985314639,6809.4939528728,185.21824,-4603.146647,-169554.33212649287,-9.239824937320009
2026-04-05 00:06:35.989750104,0.00423749224770919,False,MONUSDC,0.027201999394317212,1651.02698331,44.89968,-4648.057881999999,-171205.35910980287,-9.070192808719185
2026-04-05 00:06:59.142548858,-0.2742591157303641,True,MONUSDC,0.027197999962604396,14634.4806804642,397.9847,-4250.029276999999,-156570.87842933869,-8.385468666092493
2026-04-05 00:06:59.142560329,-0.2742591157303641,True,MONUSDC,0.027197999962604396,14634.4806804642,397.9847,-3852.0006719999988,-141936.3977488745,-8.385468666092493
2026-04-05 00:06:59.532366126,-0.08928680943003674,False,MONUSDC,0.027178999950446654,20180.2546451304,548.39842,-4400.479811999999,-162116.6523940049,-5.688675383237751
2026-04-05 00:06:59.933646772,-0.07464687784652324,False,MONUSDC,0.027178999976061508,41773.6415247065,1135.19871,-5535.845613999999,-203890.2939187114,-5.688679535832307
2026-04-05 00:07:00.337573959,-0.0042626395488408126,False,MONUSDC,0.027178999669106828,3022.1180690974,82.12606,-5617.983759999999,-206912.4119878088,-5.688616950751566
2026-04-05 00:07:00.755783217,0.0015970686922168347,False,MONUSDC,0.027183997754260752,445.2865288404,12.10066,-5630.088427999999,-207357.6985166492,-6.722782805270981
2026-04-05 00:07:03.187950350,0.0037415832134255426,False,MONUSDC,0.02718199957528148,2354.499301008,63.99529,-5694.088426999999,-209712.1978176572,-6.308445010905416
2026-04-05 00:07:03.187962720,0.018711916588715738,False,MONUSDC,0.027181999915056248,11772.4965050401,319.97646,-6014.088425999998,-221484.6943226973,-6.308516265818071
2026-04-05 00:07:03.187972860,0.0009346456686445807,False,MONUSDC,0.02718199830112523,588.624825252,15.99882,-6030.088424999998,-222073.31914794928,-6.308158804800769
2026-04-05 00:07:08.356597762,0.015234268775022144,True,MONUSDC,0.0271799999796017,17327.6365840123,470.96516,-5559.123262999998,-204745.68256393698,-5.864384911345951
2026-04-05 00:07:09.563620078,0.01746468585703026,True,MONUSDC,0.02718,19865.0,539.9307,-5019.192562999998,-184880.68256393698,-5.864389087809286
2026-04-05 00:07:09.563633638,0.015234268774962033,True,MONUSDC,0.0271799999796017,17327.6365840123,470.96516,-4548.227400999997,-167553.04597992467,-5.864385316558582
2026-04-05 00:07:10.765240175,0.007617134386128421,True,MONUSDC,0.027179999979601858,8663.8182920061,235.48258,-4312.744819999997,-158889.22768791858,-5.864385316584958
2026-04-05 00:07:12.378891651,0.002637506044353928,True,MONUSDC,0.027180000000000003,3000.0,81.54,-4231.204819999997,-155889.22768791858,-5.864388557630264
2026-04-05 00:07:20.815702473,0.0038039894332999574,False,MONUSDC,0.02716999862189268,725.631542142,19.71904,-4250.920227999997,-156614.85923006057,-4.305281448664573
